,DATO,PO_KODE,PO_NAVN,ARTSID,TRAFFIC_LIGHT,BEHFISK_STK,BIOMASSE_KG
917,2022-01-01,02,Ryfylket,LAKS,yellow,22477356,46928541
918,2022-01-01,03,Karmøy til Sotra,LAKS,red,45874938,105464186
920,2022-01-01,04,Nordhordland til Stadt,LAKS,red,33733421,59042006
922,2022-01-01,05,Stadt til Hustadvika,LAKS,yellow,14136910,30682242
924,2022-01-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,77714061,151502893
925,2022-01-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,30219408,60344047
926,2022-01-01,08,Helgeland til Bodø,LAKS,green,43926295,92209649
927,2022-01-01,09,Vestfjorden og Vesterålen,LAKS,green,43520506,81257556
928,2022-01-01,10,Andøya til Senja,LAKS,green,38085392,77234735
929,2022-01-01,11,Kvaløy til Loppa,LAKS,green,22832981,40205048
930,2022-01-01,12,Vest-Finnmark,LAKS,green,37066933,69935195
931,2022-01-01,13,Øst-Finnmark,LAKS,green,2931783,2870845
932,2022-02-01,01,Svenskegrensen til Jæren,LAKS,green,6855720,7308235
933,2022-02-01,02,Ryfylket,LAKS,yellow,20124113,40785409
934,2022-02-01,03,Karmøy til Sotra,LAKS,red,42610913,100148590
936,2022-02-01,04,Nordhordland til Stadt,LAKS,red,31810952,56705659
938,2022-02-01,05,Stadt til Hustadvika,LAKS,yellow,13294631,30178795
940,2022-02-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,75730298,150447144
941,2022-02-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,28758665,58415442
942,2022-02-01,08,Helgeland til Bodø,LAKS,green,40794381,86400982
943,2022-02-01,09,Vestfjorden og Vesterålen,LAKS,green,40594038,76383672
944,2022-02-01,10,Andøya til Senja,LAKS,green,35841937,72853282
945,2022-02-01,11,Kvaløy til Loppa,LAKS,green,21362937,36150114
946,2022-02-01,12,Vest-Finnmark,LAKS,green,35190389,68985060
947,2022-02-01,13,Øst-Finnmark,LAKS,green,2779665,3023034
948,2022-03-01,01,Svenskegrensen til Jæren,LAKS,green,6842522,8474199
949,2022-03-01,02,Ryfylket,LAKS,yellow,18967049,34457407
950,2022-03-01,03,Karmøy til Sotra,LAKS,red,52264571,96274144
952,2022-03-01,04,Nordhordland til Stadt,LAKS,red,31716666,55739947
954,2022-03-01,05,Stadt til Hustadvika,LAKS,yellow,14398043,32968881
956,2022-03-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,70838535,138425010
957,2022-03-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,26451885,52487254
958,2022-03-01,08,Helgeland til Bodø,LAKS,green,37703214,80965485
959,2022-03-01,09,Vestfjorden og Vesterålen,LAKS,green,38018330,72397584
960,2022-03-01,10,Andøya til Senja,LAKS,green,32695279,62023106
961,2022-03-01,11,Kvaløy til Loppa,LAKS,green,20514844,35505626
962,2022-03-01,12,Vest-Finnmark,LAKS,green,34053875,71159005
963,2022-03-01,13,Øst-Finnmark,LAKS,green,2747164,3354804
964,2022-04-01,01,Svenskegrensen til Jæren,LAKS,green,6830182,9865122
965,2022-04-01,02,Ryfylket,LAKS,yellow,19231291,34807545
966,2022-04-01,03,Karmøy til Sotra,LAKS,red,52092292,91362550
968,2022-04-01,04,Nordhordland til Stadt,LAKS,red,32879610,54927373
970,2022-04-01,05,Stadt til Hustadvika,LAKS,yellow,20544208,36582601
972,2022-04-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,71723834,139037031
973,2022-04-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,27434868,49010646
974,2022-04-01,08,Helgeland til Bodø,LAKS,green,37993802,80260011
975,2022-04-01,09,Vestfjorden og Vesterålen,LAKS,green,42786357,74544780
976,2022-04-01,10,Andøya til Senja,LAKS,green,30950635,55356491
977,2022-04-01,11,Kvaløy til Loppa,LAKS,green,21429692,35868907
978,2022-04-01,12,Vest-Finnmark,LAKS,green,35853220,70315851
979,2022-04-01,13,Øst-Finnmark,LAKS,green,2715333,3777210
980,2022-05-01,01,Svenskegrensen til Jæren,LAKS,green,6814440,11793815
981,2022-05-01,02,Ryfylket,LAKS,yellow,20147873,38315320
982,2022-05-01,03,Karmøy til Sotra,LAKS,red,50769985,90258670
984,2022-05-01,04,Nordhordland til Stadt,LAKS,red,32155053,53599297
986,2022-05-01,05,Stadt til Hustadvika,LAKS,yellow,22051224,38631840
988,2022-05-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,75260238,140617994
989,2022-05-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,29633776,48604113
990,2022-05-01,08,Helgeland til Bodø,LAKS,green,46806626,79240226
991,2022-05-01,09,Vestfjorden og Vesterålen,LAKS,green,47013730,73638412
992,2022-05-01,10,Andøya til Senja,LAKS,green,34908072,52054754
993,2022-05-01,11,Kvaløy til Loppa,LAKS,green,25585184,38334988
994,2022-05-01,12,Vest-Finnmark,LAKS,green,39225378,68231023
995,2022-05-01,13,Øst-Finnmark,LAKS,green,2684210,4191183
996,2022-06-01,01,Svenskegrensen til Jæren,LAKS,green,6795697,14871024
997,2022-06-01,02,Ryfylket,LAKS,yellow,22563683,43449466
998,2022-06-01,03,Karmøy til Sotra,LAKS,red,50657556,92846035
1000,2022-06-01,04,Nordhordland til Stadt,LAKS,red,28988950,48300626
1002,2022-06-01,05,Stadt til Hustadvika,LAKS,yellow,25794186,38188676
1004,2022-06-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,75200757,137529546
1005,2022-06-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,29177997,52832864
1006,2022-06-01,08,Helgeland til Bodø,LAKS,green,45882879,77453350
1007,2022-06-01,09,Vestfjorden og Vesterålen,LAKS,green,48217796,74861474
1008,2022-06-01,10,Andøya til Senja,LAKS,green,37091344,55627260
1009,2022-06-01,11,Kvaløy til Loppa,LAKS,green,26657980,43483925
1010,2022-06-01,12,Vest-Finnmark,LAKS,green,41918871,70079916
1011,2022-06-01,13,Øst-Finnmark,LAKS,green,3036015,4586228
1012,2022-07-01,01,Svenskegrensen til Jæren,LAKS,green,6682641,18414558
1013,2022-07-01,02,Ryfylket,LAKS,yellow,21045148,44569507
1014,2022-07-01,03,Karmøy til Sotra,LAKS,red,48563599,97311226
1016,2022-07-01,04,Nordhordland til Stadt,LAKS,red,28428499,52901075
1018,2022-07-01,05,Stadt til Hustadvika,LAKS,yellow,24634916,37609553
1020,2022-07-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,74822469,137152195
1021,2022-07-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,29484613,55656655
1022,2022-07-01,08,Helgeland til Bodø,LAKS,green,44888392,80385212
1023,2022-07-01,09,Vestfjorden og Vesterålen,LAKS,green,49153393,83704318
1024,2022-07-01,10,Andøya til Senja,LAKS,green,39751633,65616512
1025,2022-07-01,11,Kvaløy til Loppa,LAKS,green,27526920,50919921
1026,2022-07-01,12,Vest-Finnmark,LAKS,green,45682006,72683838
1027,2022-07-01,13,Øst-Finnmark,LAKS,green,4216421,5834600
1028,2022-08-01,01,Svenskegrensen til Jæren,LAKS,green,6185255,17625389
1029,2022-08-01,02,Ryfylket,LAKS,yellow,23982921,45834995
1030,2022-08-01,03,Karmøy til Sotra,LAKS,red,49031391,101095755
1032,2022-08-01,04,Nordhordland til Stadt,LAKS,red,29891568,61421090
1034,2022-08-01,05,Stadt til Hustadvika,LAKS,yellow,24019262,37466159
1036,2022-08-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,78609502,135314782
1037,2022-08-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,36237272,58584519
1038,2022-08-01,08,Helgeland til Bodø,LAKS,green,47836503,83792749
1039,2022-08-01,09,Vestfjorden og Vesterålen,LAKS,green,51240741,87858766
1040,2022-08-01,10,Andøya til Senja,LAKS,green,43071284,73183523
1041,2022-08-01,11,Kvaløy til Loppa,LAKS,green,26600865,52810101
1042,2022-08-01,12,Vest-Finnmark,LAKS,green,42830588,71813005
1043,2022-08-01,13,Øst-Finnmark,LAKS,green,4205275,7416580
1044,2022-09-01,01,Svenskegrensen til Jæren,LAKS,green,5424841,16106688
1045,2022-09-01,02,Ryfylket,LAKS,yellow,24909271,46715095
1046,2022-09-01,03,Karmøy til Sotra,LAKS,red,47237324,100626277
1048,2022-09-01,04,Nordhordland til Stadt,LAKS,red,32104746,65259597
1050,2022-09-01,05,Stadt til Hustadvika,LAKS,yellow,25019399,36012613
1052,2022-09-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,81078675,139820631
1054,2022-09-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,38171844,56272850
1055,2022-09-01,08,Helgeland til Bodø,LAKS,green,48184562,87365456
1056,2022-09-01,09,Vestfjorden og Vesterålen,LAKS,green,49518407,86804854
1057,2022-09-01,10,Andøya til Senja,LAKS,green,43401723,76677376
1058,2022-09-01,11,Kvaløy til Loppa,LAKS,green,26541385,52055777
1059,2022-09-01,12,Vest-Finnmark,LAKS,green,39445800,71426820
1060,2022-09-01,13,Øst-Finnmark,LAKS,green,4188136,9111665
1061,2022-10-01,01,Svenskegrensen til Jæren,LAKS,green,4069670,13686856
1062,2022-10-01,02,Ryfylket,LAKS,yellow,28195569,49659357
1063,2022-10-01,03,Karmøy til Sotra,LAKS,red,47626850,101622187
1065,2022-10-01,04,Nordhordland til Stadt,LAKS,red,32505837,64694875
1067,2022-10-01,05,Stadt til Hustadvika,LAKS,yellow,25169793,38938131
1069,2022-10-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,75341352,140872118
1071,2022-10-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,37356745,57990095
1072,2022-10-01,08,Helgeland til Bodø,LAKS,green,45664692,85612489
1073,2022-10-01,09,Vestfjorden og Vesterålen,LAKS,green,49992991,92533361
1074,2022-10-01,10,Andøya til Senja,LAKS,green,44050799,79765114
1075,2022-10-01,11,Kvaløy til Loppa,LAKS,green,23886217,47476420
1076,2022-10-01,12,Vest-Finnmark,LAKS,green,41498410,72416060
1077,2022-10-01,13,Øst-Finnmark,LAKS,green,3846920,9262264
1078,2022-11-01,01,Svenskegrensen til Jæren,LAKS,green,3713406,14217549
1079,2022-11-01,02,Ryfylket,LAKS,yellow,28220200,49993306
1080,2022-11-01,03,Karmøy til Sotra,LAKS,red,45106873,100202800
1082,2022-11-01,04,Nordhordland til Stadt,LAKS,red,29894625,54730993
1084,2022-11-01,05,Stadt til Hustadvika,LAKS,yellow,24423878,43121361
1086,2022-11-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,72206471,141108121
1088,2022-11-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,34803647,56298155
1089,2022-11-01,08,Helgeland til Bodø,LAKS,green,46311331,84605792
1090,2022-11-01,09,Vestfjorden og Vesterålen,LAKS,green,51818739,96427262
1091,2022-11-01,10,Andøya til Senja,LAKS,green,43705313,82723285
1092,2022-11-01,11,Kvaløy til Loppa,LAKS,green,25868033,46746408
1093,2022-11-01,12,Vest-Finnmark,LAKS,green,44597998,71137544
1094,2022-11-01,13,Øst-Finnmark,LAKS,green,3245339,8025447
1095,2022-12-01,01,Svenskegrensen til Jæren,LAKS,green,3339727,14235853
1096,2022-12-01,02,Ryfylket,LAKS,yellow,27325977,48807616
1097,2022-12-01,03,Karmøy til Sotra,LAKS,red,43898425,95034613
1099,2022-12-01,04,Nordhordland til Stadt,LAKS,red,28565824,47952346
1101,2022-12-01,05,Stadt til Hustadvika,LAKS,yellow,25279094,46787657
1103,2022-12-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,71207035,134351741
1105,2022-12-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,39320927,61051150
1106,2022-12-01,08,Helgeland til Bodø,LAKS,green,44480674,82314941
1107,2022-12-01,09,Vestfjorden og Vesterålen,LAKS,green,49957606,96975131
1108,2022-12-01,10,Andøya til Senja,LAKS,green,43246702,85212253
1109,2022-12-01,11,Kvaløy til Loppa,LAKS,green,24223919,45190805
1110,2022-12-01,12,Vest-Finnmark,LAKS,green,43280895,67349966
1111,2022-12-01,13,Øst-Finnmark,LAKS,green,2880181,7460376
1112,2023-01-01,01,Svenskegrensen til Jæren,LAKS,green,2940278,13636352
1113,2023-01-01,02,Ryfylket,LAKS,yellow,24930732,44442531
1114,2023-01-01,03,Karmøy til Sotra,LAKS,red,41619572,91242752
1116,2023-01-01,04,Nordhordland til Stadt,LAKS,red,26747688,46200987
1118,2023-01-01,05,Stadt til Hustadvika,LAKS,yellow,24582562,50482611
1120,2023-01-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,75382589,132693800
1122,2023-01-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,37858488,62040942
1123,2023-01-01,08,Helgeland til Bodø,LAKS,green,41673759,80980874
1124,2023-01-01,09,Vestfjorden og Vesterålen,LAKS,green,46028398,91345207
1125,2023-01-01,10,Andøya til Senja,LAKS,green,41426665,85339545
1126,2023-01-01,11,Kvaløy til Loppa,LAKS,green,23122057,45473722
1127,2023-01-01,12,Vest-Finnmark,LAKS,green,41114227,64502376
1128,2023-01-01,13,Øst-Finnmark,LAKS,green,2415402,5844964
1129,2023-02-01,01,Svenskegrensen til Jæren,LAKS,green,2102011,9734168
1130,2023-02-01,02,Ryfylket,LAKS,yellow,24012188,42853490
1131,2023-02-01,03,Karmøy til Sotra,LAKS,red,38505568,88502770
1133,2023-02-01,04,Nordhordland til Stadt,LAKS,red,25125156,43713685
1135,2023-02-01,05,Stadt til Hustadvika,LAKS,yellow,23306063,50742052
1137,2023-02-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,71787405,130666720
1139,2023-02-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,36690744,64321420
1140,2023-02-01,08,Helgeland til Bodø,LAKS,green,39461196,80176516
1141,2023-02-01,09,Vestfjorden og Vesterålen,LAKS,green,42747011,85830861
1142,2023-02-01,10,Andøya til Senja,LAKS,green,38782216,81481930
1143,2023-02-01,11,Kvaløy til Loppa,LAKS,green,22547284,47385734
1144,2023-02-01,12,Vest-Finnmark,LAKS,green,38049462,57833084
1145,2023-02-01,13,Øst-Finnmark,LAKS,green,1760181,3166000
1146,2023-03-01,01,Svenskegrensen til Jæren,LAKS,green,1115405,4068536
1147,2023-03-01,02,Ryfylket,LAKS,yellow,23169603,41169438
1148,2023-03-01,03,Karmøy til Sotra,LAKS,red,47456529,86172931
1150,2023-03-01,04,Nordhordland til Stadt,LAKS,red,28504949,45186200
1152,2023-03-01,05,Stadt til Hustadvika,LAKS,yellow,22883203,53342759
1154,2023-03-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,70127370,125693269
1156,2023-03-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,35368639,67411772
1157,2023-03-01,08,Helgeland til Bodø,LAKS,green,36539046,75876739
1158,2023-03-01,09,Vestfjorden og Vesterålen,LAKS,green,38795479,75452007
1159,2023-03-01,10,Andøya til Senja,LAKS,green,36115133,76936887
1160,2023-03-01,11,Kvaløy til Loppa,LAKS,green,21242882,45562738
1161,2023-03-01,12,Vest-Finnmark,LAKS,green,35892462,57889341
1162,2023-03-01,13,Øst-Finnmark,LAKS,green,1684226,3127780
1163,2023-04-01,01,Svenskegrensen til Jæren,LAKS,green,581342,681183
1164,2023-04-01,02,Ryfylket,LAKS,yellow,24302066,43794402
1165,2023-04-01,03,Karmøy til Sotra,LAKS,red,48320995,82151413
1167,2023-04-01,04,Nordhordland til Stadt,LAKS,red,31962947,44262461
1169,2023-04-01,05,Stadt til Hustadvika,LAKS,yellow,26079749,57051563
1171,2023-04-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,74368091,121196695
1173,2023-04-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,36169595,65776875
1174,2023-04-01,08,Helgeland til Bodø,LAKS,green,43207004,77721476
1175,2023-04-01,09,Vestfjorden og Vesterålen,LAKS,green,39907364,73583641
1176,2023-04-01,10,Andøya til Senja,LAKS,green,36341524,74537381
1177,2023-04-01,11,Kvaløy til Loppa,LAKS,green,21375597,46382938
1178,2023-04-01,12,Vest-Finnmark,LAKS,green,36048301,59091464
1179,2023-04-01,13,Øst-Finnmark,LAKS,green,1682329,3449623
1180,2023-05-01,01,Svenskegrensen til Jæren,LAKS,green,580808,776748
1181,2023-05-01,02,Ryfylket,LAKS,yellow,22759253,43198841
1182,2023-05-01,03,Karmøy til Sotra,LAKS,red,48909307,76419912
1184,2023-05-01,04,Nordhordland til Stadt,LAKS,red,32414237,44345754
1186,2023-05-01,05,Stadt til Hustadvika,LAKS,yellow,26804248,59175711
1188,2023-05-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,75353256,124838723
1190,2023-05-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,37525895,70251490
1191,2023-05-01,08,Helgeland til Bodø,LAKS,green,49746226,78490810
1192,2023-05-01,09,Vestfjorden og Vesterålen,LAKS,green,47125332,76620091
1193,2023-05-01,10,Andøya til Senja,LAKS,green,41673015,68904031
1194,2023-05-01,11,Kvaløy til Loppa,LAKS,green,24762001,50426854
1195,2023-05-01,12,Vest-Finnmark,LAKS,green,43487521,60875824
1196,2023-05-01,13,Øst-Finnmark,LAKS,green,1681070,3966242
1197,2023-06-01,01,Svenskegrensen til Jæren,LAKS,green,3133024,1754677
1198,2023-06-01,02,Ryfylket,LAKS,yellow,21278650,44682303
1199,2023-06-01,03,Karmøy til Sotra,LAKS,red,47530869,66548449
1201,2023-06-01,04,Nordhordland til Stadt,LAKS,red,31423673,49005059
1203,2023-06-01,05,Stadt til Hustadvika,LAKS,yellow,27949836,57467551
1205,2023-06-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,72601970,126251060
1207,2023-06-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,39383681,73339876
1208,2023-06-01,08,Helgeland til Bodø,LAKS,green,49495484,77391696
1209,2023-06-01,09,Vestfjorden og Vesterålen,LAKS,green,46366280,78174138
1210,2023-06-01,10,Andøya til Senja,LAKS,green,40405204,66385292
1211,2023-06-01,11,Kvaløy til Loppa,LAKS,green,28324092,55391712
1212,2023-06-01,12,Vest-Finnmark,LAKS,green,44905297,64708979
1213,2023-06-01,13,Øst-Finnmark,LAKS,green,3032517,4803094
1214,2023-07-01,01,Svenskegrensen til Jæren,LAKS,green,3126907,2510209
1215,2023-07-01,02,Ryfylket,LAKS,yellow,21591421,48053066
1216,2023-07-01,03,Karmøy til Sotra,LAKS,red,45132046,69622597
1218,2023-07-01,04,Nordhordland til Stadt,LAKS,red,32493269,56448698
1220,2023-07-01,05,Stadt til Hustadvika,LAKS,yellow,25373109,56478475
1222,2023-07-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,75507559,131922520
1224,2023-07-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,38668472,75340765
1225,2023-07-01,08,Helgeland til Bodø,LAKS,green,48875351,81040007
1226,2023-07-01,09,Vestfjorden og Vesterålen,LAKS,green,46920173,83963246
1227,2023-07-01,10,Andøya til Senja,LAKS,green,39937125,73274344
1228,2023-07-01,11,Kvaløy til Loppa,LAKS,green,28906722,57313773
1229,2023-07-01,12,Vest-Finnmark,LAKS,green,47301815,74967153
1230,2023-07-01,13,Øst-Finnmark,LAKS,green,4818614,6132160
1231,2023-08-01,01,Svenskegrensen til Jæren,LAKS,green,4651630,3805203
1232,2023-08-01,02,Ryfylket,LAKS,yellow,21197329,48472033
1233,2023-08-01,03,Karmøy til Sotra,LAKS,red,47543204,76851103
1235,2023-08-01,04,Nordhordland til Stadt,LAKS,red,32035408,60225849
1237,2023-08-01,05,Stadt til Hustadvika,LAKS,yellow,21578700,51601670
1239,2023-08-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,75705188,139683360
1241,2023-08-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,40064651,79616926
1242,2023-08-01,08,Helgeland til Bodø,LAKS,green,52336248,84715364
1243,2023-08-01,09,Vestfjorden og Vesterålen,LAKS,green,48525616,82133918
1244,2023-08-01,10,Andøya til Senja,LAKS,green,44461452,81579861
1245,2023-08-01,11,Kvaløy til Loppa,LAKS,green,26142793,51512760
1246,2023-08-01,12,Vest-Finnmark,LAKS,green,48353769,84124358
1247,2023-08-01,13,Øst-Finnmark,LAKS,green,4707126,7402557
1248,2023-09-01,01,Svenskegrensen til Jæren,LAKS,green,6891913,5465287
1249,2023-09-01,02,Ryfylket,LAKS,yellow,21381456,46275982
1250,2023-09-01,03,Karmøy til Sotra,LAKS,red,47157510,83567984
1252,2023-09-01,04,Nordhordland til Stadt,LAKS,red,34840604,61950636
1254,2023-09-01,05,Stadt til Hustadvika,LAKS,yellow,18940136,45179571
1256,2023-09-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,78559315,148758471
1258,2023-09-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,39798827,78291881
1259,2023-09-01,08,Helgeland til Bodø,LAKS,green,53592224,91657316
1260,2023-09-01,09,Vestfjorden og Vesterålen,LAKS,green,52141447,84275826
1261,2023-09-01,10,Andøya til Senja,LAKS,green,42937838,83915967
1262,2023-09-01,11,Kvaløy til Loppa,LAKS,green,26568212,52442270
1263,2023-09-01,12,Vest-Finnmark,LAKS,green,48195368,89966945
1264,2023-09-01,13,Øst-Finnmark,LAKS,green,4197776,6891688
1265,2023-10-01,01,Svenskegrensen til Jæren,LAKS,green,7594615,7183816
1266,2023-10-01,02,Ryfylket,LAKS,yellow,22491775,44498506
1267,2023-10-01,03,Karmøy til Sotra,LAKS,red,49533232,89907919
1269,2023-10-01,04,Nordhordland til Stadt,LAKS,red,34420650,65135987
1271,2023-10-01,05,Stadt til Hustadvika,LAKS,yellow,17548595,40889877
1273,2023-10-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,77378832,152049231
1275,2023-10-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,36346059,74165640
1276,2023-10-01,08,Helgeland til Bodø,LAKS,green,50613555,95032009
1277,2023-10-01,09,Vestfjorden og Vesterålen,LAKS,green,50637906,85621973
1278,2023-10-01,10,Andøya til Senja,LAKS,green,47933541,86567797
1279,2023-10-01,11,Kvaløy til Loppa,LAKS,green,25062570,47048104
1280,2023-10-01,12,Vest-Finnmark,LAKS,green,46591643,89707864
1281,2023-10-01,13,Øst-Finnmark,LAKS,green,3756751,5774489
1282,2023-11-01,01,Svenskegrensen til Jæren,LAKS,green,7309035,7979796
1283,2023-11-01,02,Ryfylket,LAKS,yellow,22862983,45401461
1284,2023-11-01,03,Karmøy til Sotra,LAKS,red,46520413,90877724
1286,2023-11-01,04,Nordhordland til Stadt,LAKS,red,36025470,64099588
1288,2023-11-01,05,Stadt til Hustadvika,LAKS,yellow,17351662,39520503
1290,2023-11-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,72871588,149430018
1291,2023-11-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,36678890,72854860
1292,2023-11-01,08,Helgeland til Bodø,LAKS,green,49020509,94747949
1293,2023-11-01,09,Vestfjorden og Vesterålen,LAKS,green,51890335,89324630
1294,2023-11-01,10,Andøya til Senja,LAKS,green,44406583,81707505
1295,2023-11-01,11,Kvaløy til Loppa,LAKS,green,29342862,45892087
1296,2023-11-01,12,Vest-Finnmark,LAKS,green,44993076,81516071
1297,2023-11-01,13,Øst-Finnmark,LAKS,green,3341983,4124528
1298,2023-12-01,01,Svenskegrensen til Jæren,LAKS,green,7852284,9611038
1299,2023-12-01,02,Ryfylket,LAKS,yellow,21969673,44229039
1300,2023-12-01,03,Karmøy til Sotra,LAKS,red,43177680,85630322
1302,2023-12-01,04,Nordhordland til Stadt,LAKS,red,35481235,64076134
1304,2023-12-01,05,Stadt til Hustadvika,LAKS,yellow,17021838,33345944
1306,2023-12-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,76037213,147657341
1307,2023-12-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,40343628,74883819
1308,2023-12-01,08,Helgeland til Bodø,LAKS,green,49444263,91244797
1309,2023-12-01,09,Vestfjorden og Vesterålen,LAKS,green,52432656,91757708
1310,2023-12-01,10,Andøya til Senja,LAKS,green,41218437,75570638
1311,2023-12-01,11,Kvaløy til Loppa,LAKS,green,27181137,39321968
1312,2023-12-01,12,Vest-Finnmark,LAKS,green,48092209,84602456
1313,2023-12-01,13,Øst-Finnmark,LAKS,green,3139421,3166490
